Наименование;Артикул;Производитель;Цена;Цена поставщика;Старая цена;Наличие;Минимальный заказ;Валюта;Изображение;Descriptio;ID поставщика;ID категории;Title;Keywords
"Велосипед 27,5&quot; Десна-2710 V, V020, цвет антрацитовый, размер 17,5&quot;";;0;9941.49;8497;0;0;1;RUB;/uploads/sima/282db54bf31a3c8ae3df93f2a96eca45.jpg;;1;3;;
"Велосипед 26&quot; Десна-2610, V010, цвет синий/чёрный, размер 16&quot;";;0;9699.3;8290;0;0;1;RUB;/uploads/sima/6af305bee6836ba989a42a0a94e930c9.jpg;;1;3;;
"Велосипед 26&quot; Десна-2610 V, V010, цвет красный/черный, размер 16&quot;";;0;9699.3;8290;0;0;1;RUB;/uploads/sima/d8c59a2b78a6ff3b07c322a662e00515.jpg;;1;3;;
"Велосипед 26&quot; Десна-2610 V, V010, цвет синий/чёрный, размер 20&quot;";;0;9699.3;8290;0;0;1;RUB;/uploads/sima/fd53eb5827257637596573eca952e2c4.jpg;;1;3;;
Шорты для мальчика Optop;;0;272.61;233;0;0;1;RUR;/uploads/happy/68d0aa76204010f82859552dae67d916.jpg;;2;0;;
Трусики для девочки 3шт. Машук;;0;232.83;199;0;0;1;RUR;/uploads/happy/f70083650946cbee1a397f230693206c.jpg;;2;8;;
Кепка;123;;100;98;150;3;1;RUB;;Магазин классных вещей;3;8;Кепка;Кепка красная
